id,year,country,city,category,firstname,surname,gender
171,1912,FRA,Toulouse,chemistry,Paul,Sabatier,male
172,1913,CHE,Zurich,chemistry,Alfred,Werner,male
173,1914,USA,"Cambridge, MA",chemistry,Theodore William,Richards,male
174,1915,DEU,Munich,chemistry,Richard Martin,Willstätter,male
175,1918,DEU,Berlin-Dahlem,chemistry,Fritz,Haber,male
176,1920,DEU,Berlin,chemistry,Walther Hermann,Nernst,male
177,1921,GBR,Oxford,chemistry,Frederick,Soddy,male
178,1922,GBR,Cambridge,chemistry,Francis William,Aston,male
179,1923,AUT,Graz,chemistry,Fritz,Pregl,male
180,1925,DEU,Göttingen,chemistry,Richard Adolf,Zsigmondy,male
181,1926,SWE,Uppsala,chemistry,The (Theodor),Svedberg,male
182,1927,DEU,Munich,chemistry,Heinrich Otto,Wieland,male
183,1928,DEU,Göttingen,chemistry,Adolf Otto Reinhold,Windaus,male
184,1929,GBR,London,chemistry,Arthur,Harden,male
185,1929,SWE,Stockholm,chemistry,Hans Karl August Simon,von Euler-Chelpin,male
186,1930,DEU,Munich,chemistry,Hans,Fischer,male
187,1931,DEU,Heidelberg,chemistry,Carl,Bosch,male
188,1931,DEU,Heidelberg,chemistry,Friedrich,Bergius,male
189,1932,USA,"Schenectady, NY",chemistry,Irving,Langmuir,male
190,1934,USA,"New York, NY",chemistry,Harold Clayton,Urey,male
191,1935,FRA,Paris,chemistry,Frédéric,Joliot,male
192,1935,FRA,Paris,chemistry,Irène,Joliot-Curie,female
193,1936,DEU,Berlin,chemistry,Petrus (Peter) Josephus Wilhelmus,Debye,male
194,1937,GBR,Birmingham,chemistry,Walter Norman,Haworth,male
195,1937,CHE,Zurich,chemistry,Paul,Karrer,male
196,1938,DEU,Heidelberg,chemistry,Richard,Kuhn,male
197,1939,DEU,Berlin-Dahlem,chemistry,Adolf Friedrich Johann,Butenandt,male
198,1939,CHE,Zurich,chemistry,Leopold,Ruzicka,male
199,1943,SWE,Stockholm,chemistry,George,de Hevesy,male
200,1944,DEU,Berlin-Dahlem,chemistry,Otto,Hahn,male
201,1945,FIN,Helsinki,chemistry,Artturi Ilmari,Virtanen,male
202,1946,USA,"Ithaca, NY",chemistry,James Batcheller,Sumner,male
203,1946,USA,"Princeton, NJ",chemistry,John Howard,Northrop,male
204,1946,USA,"Princeton, NJ",chemistry,Wendell Meredith,Stanley,male
205,1947,GBR,Oxford,chemistry,Sir Robert,Robinson,male
206,1948,SWE,Uppsala,chemistry,Arne Wilhelm Kaurin,Tiselius,male
207,1949,USA,"Berkeley, CA",chemistry,William Francis,Giauque,male
208,1950,,Kiel,chemistry,Otto Paul Hermann,Diels,male
209,1950,,Cologne,chemistry,Kurt,Alder,male
210,1951,USA,"Berkeley, CA",chemistry,Edwin Mattison,McMillan,male
211,1951,USA,"Berkeley, CA",chemistry,Glenn Theodore,Seaborg,male
212,1952,GBR,London,chemistry,Archer John Porter,Martin,male
213,1952,GBR,Bucksburn (Scotland),chemistry,Richard Laurence Millington,Synge,male
214,1953,,Breisgau,chemistry,Hermann,Staudinger,male
215,1954,USA,"Pasadena, CA",chemistry,Linus Carl,Pauling,male
216,1962,USA,"Pasadena, CA",peace,Linus Carl,Pauling,male
217,1955,USA,"Ithaca, NY",chemistry,Vincent,du Vigneaud,male
218,1956,GBR,Oxford,chemistry,Sir Cyril Norman,Hinshelwood,male
219,1956,,Moscow,chemistry,Nikolay Nikolaevich,Semenov,male
